,Neighborhood,Population,Total private dwellings,Population density per square kilometre,Crime Cases,COVID Cases,latitude,longitude
0,Agincourt North,29113.0,9371.0,3929.0,214.0,884.0,43.8080383,-79.2664391
1,Agincourt South-Malvern West,23757.0,8535.0,3034.0,329.0,685.0,43.781969000000004,-79.25768943954708
2,Alderwood,12054.0,4732.0,2435.0,88.0,274.0,43.6017173,-79.5452325
3,Annex,30526.0,18109.0,10863.0,604.0,654.0,43.6703377,-79.407117
4,Banbury-Don Mills,27695.0,12473.0,2775.0,221.0,564.0,43.7526832,-79.3652703
5,Bathurst Manor,15873.0,6418.0,3377.0,113.0,953.0,43.76389295,-79.45636693710946
6,Bay Street Corridor,25797.0,18436.0,14097.0,1371.0,399.0,43.6688649,-79.3891256
7,Bayview Village,21396.0,10111.0,4195.0,167.0,324.0,43.7691966,-79.3766617
8,Bayview Woods-Steeles,13154.0,4895.0,3240.0,91.0,372.0,43.7981268,-79.3829726
9,Bedford Park,23236.0,9052.0,4209.0,250.0,774.0,43.7373876,-79.4109253
10,Beechborough,6577.0,2796.0,3614.0,105.0,413.0,43.6950296,-79.4716835
11,Bendale,29960.0,11293.0,4011.0,423.0,1474.0,43.7535196,-79.2553355
12,Cliffside,22291.0,9637.0,3765.0,317.0,723.0,43.7111699,-79.2481769
13,Black Creek,21737.0,7671.0,6282.0,364.0,1809.0,43.6954005,-79.485495
14,Blake,7727.0,3269.0,8134.0,109.0,150.0,43.781933,-79.4230863
15,Briar Hill,14257.0,6080.0,7791.0,182.0,,43.70304535,-79.45134360044906
16,Sunnybrook,9266.0,3478.0,1040.0,122.0,134.0,43.71600205,-79.37755438397052
17,Broadview North,11499.0,5812.0,6764.0,116.0,258.0,43.6839216,-79.3569421
18,Amesbury,17757.0,6667.0,5045.0,212.0,1025.0,43.7061619,-79.48349185404643
19,Cabbagetown-South St. James Town,11669.0,6761.0,8335.0,,342.0,43.6637034,-79.37192425189392
20,Caledonia,9955.0,3935.0,6464.0,121.0,480.0,43.6923702,-79.4653558
21,Casa Loma,10968.0,5833.0,5683.0,100.0,243.0,43.6781015,-79.409415775
22,Centennial Scarborough,13362.0,4439.0,2479.0,100.0,418.0,43.7874914,-79.1507681
23,Church-Yonge Corridor,31340.0,21983.0,23044.0,1422.0,689.0,43.6707855,-79.3856867
24,Clairlea,26984.0,9529.0,3632.0,465.0,1310.0,43.7088231,-79.2959856
25,Clanton Park,16472.0,6881.0,3979.0,196.0,516.0,43.7457757,-79.4405557
26,Cliffcrest,15935.0,6094.0,2273.0,226.0,539.0,43.7218363,-79.2362138
27,Corso Italia-Davenport,14133.0,5903.0,7478.0,183.0,454.0,43.677954,-79.4430828
28,Danforth,9666.0,4108.0,8554.0,145.0,190.0,43.6864333,-79.3003555
29,Danforth East York,17180.0,7275.0,7881.0,129.0,,43.6881713,-79.3018156
30,Don Valley Village,27051.0,10196.0,6441.0,247.0,729.0,43.7926732,-79.3547219
31,Dorset Park,25003.0,8995.0,4146.0,328.0,1442.0,43.7528467,-79.282067
32,Dovercourt-Wallace Emerson-Junction,36625.0,16248.0,9819.0,551.0,942.0,43.6673299,-79.43810604666803
33,Roding,35052.0,14244.0,2337.0,799.0,2774.0,43.7271079,-79.4913046
34,Dufferin Grove,11785.0,5815.0,8540.0,183.0,318.0,43.6536319,-79.4264389
35,East End-Danforth,21381.0,9535.0,8038.0,299.0,452.0,43.6684402,-79.33067
36,Edenbridge-Humber Valley,15535.0,6606.0,2840.0,123.0,493.0,43.670672,-79.5188545
37,Eglinton East,22776.0,8199.0,7051.0,317.0,1196.0,43.7394646,-79.2320997
38,Elms-Old Rexdale,9456.0,3344.0,3306.0,123.0,553.0,43.72176985,-79.55217331972301
39,Englemount-Lawrence,22372.0,8858.0,6466.0,195.0,1497.0,43.7133583,-79.4367338
40,Centennial,18588.0,6977.0,2171.0,123.0,471.0,43.7874914,-79.1507681
41,Etobicoke West Mall,11848.0,4727.0,6582.0,87.0,558.0,43.6435491,-79.56532534553605
42,Flemingdon Park,21933.0,7964.0,9026.0,192.0,1268.0,43.7184315,-79.333204
43,Forest Hill North,12806.0,5784.0,8054.0,124.0,380.0,43.6935586,-79.4139023
44,Forest Hill South,10732.0,5353.0,4380.0,101.0,142.0,43.6935586,-79.4139023
45,Glenfield,30491.0,10423.0,5864.0,532.0,2371.0,43.7068461,-79.3043334
46,Greenwood,14417.0,6443.0,8582.0,217.0,277.0,43.68253285,-79.33024260293422
47,Guildwood,9917.0,4044.0,2673.0,50.0,330.0,43.7552251,-79.1982293
48,Henry Farm,15723.0,6646.0,6047.0,166.0,740.0,43.7695089,-79.354296
49,High Park North,22162.0,11541.0,11726.0,197.0,330.0,43.6573833,-79.470961
50,High Park-Swansea,23925.0,11526.0,4893.0,246.0,492.0,43.638093,-79.4665843
51,Highland Creek,12494.0,3907.0,2403.0,129.0,665.0,43.7901172,-79.1733344
52,Hillcrest Village,16934.0,6642.0,3148.0,155.0,370.0,43.6816953,-79.4257118
53,Humber Heights-Westmount,10948.0,4261.0,3981.0,81.0,514.0,43.6977767,-79.5212217
54,Humber Summit,12416.0,4288.0,1570.0,363.0,923.0,43.7600778,-79.5717598
55,Emery,15545.0,5390.0,3565.0,325.0,1331.0,43.7520744,-79.5423657
56,Humewood-Cedarvale,14365.0,6865.0,7682.0,102.0,290.0,43.6883215,-79.4280805
57,Ionview,13641.0,5312.0,7031.0,119.0,367.0,43.7359904,-79.2765146
58,Islington-City Centre West,43965.0,19911.0,2712.0,591.0,1580.0,43.645335,-79.5248163
59,Junction Area,14366.0,6431.0,5442.0,180.0,376.0,43.6654775,-79.470352
60,Keelesdale-Eglinton West,11058.0,4575.0,6467.0,133.0,494.0,43.6901578,-79.4749985
61,Kennedy Park,17123.0,6885.0,4770.0,323.0,747.0,43.724878,-79.2539688
62,Kensington,17945.0,9745.0,11806.0,773.0,441.0,43.6552136,-79.4022604
63,Kingsview Village,22000.0,8159.0,4356.0,173.0,1281.0,43.6995391,-79.5563459
64,Kingsway South,9271.0,3710.0,3593.0,97.0,159.0,43.6473811,-79.5113328
65,Lambton,7985.0,3217.0,4697.0,61.0,145.0,43.6658675,-79.4992242
66,L'Amoreaux,43993.0,15486.0,6144.0,379.0,1533.0,43.799003,-79.3059669
67,Lansing-Westgate,16164.0,6943.0,3038.0,165.0,334.0,43.7589503,-79.4225555
68,Lawrence Park North,14607.0,5622.0,6407.0,87.0,181.0,43.729199,-79.4032525
69,Lawrence Park South,15179.0,6017.0,4685.0,137.0,193.0,43.729199,-79.4032525
70,Leaside-Bennington,16828.0,6712.0,3596.0,116.0,253.0,43.7014812,-79.3731559
71,Little Portugal,15559.0,8095.0,12859.0,178.0,440.0,43.64741325,-79.43111632546047
72,Long Branch,10084.0,5145.0,4584.0,132.0,194.0,43.59200455,-79.54536450659592
73,Malvern,43794.0,13936.0,4948.0,505.0,2340.0,43.8091955,-79.2217008
74,Maple Leaf,10111.0,3696.0,4012.0,81.0,825.0,43.7122767,-79.4901977
75,Markland Wood,10554.0,4348.0,3614.0,67.0,221.0,43.63123865,-79.58543401986114
76,Milliken,26572.0,7825.0,2830.0,370.0,757.0,43.8231743,-79.3017626
77,Mimico,33964.0,20486.0,4915.0,,969.0,43.6166773,-79.4968048
78,Morningside,17455.0,6044.0,3041.0,233.0,859.0,43.7826012,-79.2049579
79,Moss Park,20506.0,12513.0,14753.0,1083.0,729.0,43.6546438,-79.3697278
80,Mount Dennis,13593.0,5386.0,6442.0,146.0,798.0,43.6869597,-79.4895513
81,Silverstone,32954.0,10220.0,7291.0,459.0,2816.0,43.749750899999995,-79.59911593109416
82,Mount Pleasant East,16775.0,7715.0,5411.0,128.0,195.0,43.7084166,-79.3901348
83,Mount Pleasant West,29658.0,18495.0,21969.0,294.0,744.0,43.7084166,-79.3901348
84,New Toronto,11463.0,5657.0,3342.0,175.0,325.0,43.6007625,-79.505264
85,Newtonbrook East,16097.0,6470.0,3926.0,166.0,276.0,43.795986,-79.4130896
86,Newtonbrook West,23831.0,9416.0,5070.0,308.0,1364.0,43.795986,-79.4130896
87,Niagara,31180.0,19660.0,10156.0,493.0,564.0,43.6440753,-79.4086982
88,North Riverdale,11916.0,5306.0,6770.0,169.0,154.0,43.6654704,-79.3525936
89,North St. James Town,18615.0,10109.0,44321.0,,845.0,43.6708625,-79.37279241253721
90,Oakridge,13845.0,5586.0,7444.0,252.0,639.0,43.6971738,-79.2748232
91,Oakwood Village,21210.0,9235.0,9511.0,285.0,746.0,43.6827255,-79.4380548
92,O'Connor-Parkview,18675.0,7713.0,3780.0,251.0,513.0,43.7023902,-79.3160976
93,Old East York,9233.0,3960.0,3997.0,74.0,192.0,43.689953200000005,-79.32493147310899
94,Palmerston-Little Italy,13826.0,6862.0,9601.0,190.0,206.0,43.6600648,-79.4118056
95,Parkwoods,34805.0,13921.0,4691.0,300.0,974.0,43.7611243,-79.3240594
96,Pelmo Park,10722.0,3860.0,2547.0,189.0,691.0,43.7103728,-79.5085113
97,Playter Estates-Danforth,7804.0,3767.0,8671.0,139.0,167.0,43.6786661,-79.3555177
98,Pleasant View,15818.0,5703.0,5273.0,99.0,458.0,43.787048,-79.3337137
99,Princess,11051.0,3958.0,2138.0,108.0,223.0,43.6404664,-79.3912237
100,Regent Park,10803.0,5183.0,16880.0,262.0,330.0,43.6607056,-79.3604569
101,Rexdale-Kipling,10529.0,3989.0,4229.0,155.0,557.0,43.722114149999996,-79.57229244708017
102,Rockcliffe,22246.0,9487.0,4414.0,251.0,1144.0,43.6752731,-79.4886729
103,Roncesvalles,14974.0,7305.0,9851.0,232.0,268.0,43.6514426,-79.4510381
104,Rosedale-Moore Park,20923.0,10702.0,4500.0,276.0,255.0,43.6889721,-79.3741165
105,Rouge,46496.0,13730.0,1260.0,373.0,2424.0,43.8049304,-79.1658374
106,Runnymede-Bloor West Village,10070.0,3987.0,6333.0,117.0,105.0,43.6517776,-79.4759227
107,Rustic,9941.0,3726.0,4734.0,115.0,434.0,43.71336615,-79.50450373904313
108,Scarborough Village,16724.0,6133.0,5395.0,263.0,1233.0,43.7437422,-79.2116324
109,South Parkdale,21849.0,12085.0,9583.0,416.0,911.0,43.638093,-79.4665843
110,South Riverdale,27876.0,12732.0,3136.0,490.0,450.0,43.6654704,-79.3525936
111,St.Andrew-Windfields,17812.0,6685.0,2430.0,194.0,273.0,43.6477917,-79.3848711
112,Steeles,24623.0,8032.0,5436.0,155.0,875.0,43.8161778,-79.3145378
113,Stonegate-Queensway,25051.0,10896.0,3199.0,206.0,478.0,43.62195,-79.5234993
114,Tam O'Shanter-Sullivan,27446.0,10384.0,5073.0,234.0,890.0,43.7798835,-79.30553811573397
115,Taylor-Massey,15683.0,6452.0,15528.0,214.0,606.0,43.7240387,-79.2661943
116,The Beaches,21567.0,9926.0,6058.0,183.0,210.0,43.6710244,-79.296712
117,Thistletown,10360.0,3472.0,3130.0,147.0,898.0,43.7372656,-79.5653169
118,Thorncliffe Park,21108.0,7225.0,6787.0,173.0,1415.0,43.704553,-79.3454074
119,Trinity-Bellwoods,16556.0,7562.0,9570.0,290.0,330.0,43.64756465,-79.41388090266673
120,University,7607.0,3826.0,5395.0,243.0,212.0,43.6561192,-79.38467
121,Victoria Village,17510.0,7562.0,3710.0,230.0,794.0,43.732658,-79.3111892
122,Waterfront Communities-The Island,65913.0,47209.0,8943.0,1410.0,1304.0,43.7729847,-79.4999278
123,West Hill,27392.0,10318.0,2856.0,631.0,1078.0,43.7689144,-79.1872905
124,West Humber-Clairville,33312.0,11045.0,1117.0,1014.0,2527.0,43.72337025,-79.59745741095173
125,Westminster,26274.0,10454.0,7339.0,204.0,1754.0,43.777454899999995,-79.44898325200244
126,Weston,17992.0,8061.0,7197.0,335.0,1365.0,43.7001608,-79.5162474
127,Pelham Park,11098.0,4559.0,7601.0,,,43.6686885,-79.458207
128,Wexford,27917.0,10462.0,2724.0,448.0,1127.0,43.7453767,-79.2947155
129,Willowdale East,50434.0,23901.0,10087.0,377.0,681.0,43.7615095,-79.4109234
130,Willowdale West,16936.0,8054.0,5820.0,202.0,305.0,43.7615095,-79.4109234
131,Martingrove,22156.0,8721.0,4007.0,218.0,859.0,43.67395435,-79.56048013302289
132,Woburn,53485.0,19098.0,4345.0,662.0,2858.0,43.7598243,-79.2252908
133,Woodbine,12541.0,5620.0,7838.0,154.0,156.0,43.6863861,-79.31271156664201
134,Lumsden,7865.0,3604.0,6722.0,55.0,138.0,43.6928281,-79.3157273
135,Wychwood,14349.0,6185.0,8541.0,138.0,342.0,43.682121699999996,-79.42383883756801
136,Yonge-Eglinton,11817.0,6103.0,7162.0,185.0,158.0,43.7067479,-79.3983271
137,Yonge-St.Clair,12528.0,7475.0,10708.0,81.0,161.0,43.6880777,-79.3943963721967
138,York University Heights,27593.0,11051.0,2086.0,729.0,2042.0,43.7587808,-79.5194336
139,Yorkdale-Glen Park,14804.0,5847.0,2451.0,426.0,977.0,43.703434,-79.45291835752212
